Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-11-05,26.23530962929797,26.432567596435547,26.127714374495653,26.432567596435547,363200,5,4,44,11,1993
1993-11-08,26.45049130690453,26.54015398930082,26.3787611609875,26.46842384338379,367600,8,0,45,11,1993
1993-11-09,26.64775340365008,26.665685942952667,26.46842801062417,26.486360549926758,246900,9,1,45,11,1993
1993-11-10,26.486353039741516,26.683610916137695,26.414622902870178,26.683610916137695,46500,10,2,45,11,1993
1993-11-11,26.683613306749866,26.75534345004758,26.59395062762772,26.61188316345215,88900,11,3,45,11,1993
1993-11-12,26.665687060851845,26.8270799213412,26.647754520797474,26.737417221069336,108200,12,4,45,11,1993
1993-11-15,26.79121831343478,26.79121831343478,26.647757974407014,26.7194881439209,243300,15,0,46,11,1993
1993-11-16,26.773278699529595,26.86294138773967,26.665683473677497,26.845008850097656,492600,16,1,46,11,1993
1993-11-17,26.862942374737333,26.862942374737333,26.629819376825726,26.701549530029297,39600,17,2,46,11,1993
1993-11-18,26.665686857178557,26.719484476930766,26.558091617674137,26.62982177734375,240800,18,3,46,11,1993
1993-11-19,26.54016754726971,26.6118977298299,26.522235001629664,26.576032638549805,106000,19,4,46,11,1993
1993-11-22,26.504308898677166,26.522241448676272,26.324983398686115,26.41464614868164,165300,22,0,47,11,1993
1993-11-23,26.5580997467041,26.576032292110384,26.414639383453842,26.5580997467041,89700,23,1,47,11,1993
1993-11-24,26.62982628982021,26.683623918688532,26.59396120390799,26.665691375732422,77200,24,2,47,11,1993
1993-11-26,26.7374085187912,26.7374085187912,26.66567838191986,26.683610916137695,1019800,26,4,47,11,1993
1993-11-29,26.755358094950278,26.80915573187042,26.576032638549805,26.576032638549805,517500,29,0,48,11,1993
1993-11-30,26.558087105214074,26.719479937048593,26.54015456834357,26.593952178955078,230000,30,1,48,11,1993
1993-12-01,26.73741701684817,26.755349556765573,26.62982177734375,26.62982177734375,379200,1,2,48,12,1993
1993-12-02,26.683616991728403,26.71948206833019,26.629819376825726,26.701549530029297,352000,2,3,48,12,1993
1993-12-03,26.683622899900712,26.80915069580078,26.683622899900712,26.80915069580078,306000,3,4,48,12,1993
1993-12-06,26.84500800704956,26.93467069244385,26.84500800704956,26.898805618286133,99500,6,0,49,12,1993
